	floor_mean	ceiling_mean
count	1347.0	1347.0
mean	11.022442887027394	14.768197876232591
std	19.13631966299662	26.04705733327624
min	0.13468571440000002	0.12316877700000001
25%	0.51414976245	0.74291467035
50%	1.9325029281	2.1599949614
75%	13.430288428250002	15.15023317275
max	121.2440830169	157.3874736234
